project,area_bucket,district,tenure,propertyType,avg_buy,most_recent_buy,avg_buy_2020,avg_buy_2021,avg_buy_2022,avg_buy_2023,avg_buy_2024,avg_buy_2025,avg_rent,most_recent_rent,avg_rent_2020,avg_rent_2021,avg_rent_2022,avg_rent_2023,avg_rent_2024,avg_rent_2025,ROI
21 RICHARDS,30-40,19.0,Freehold,Apartment,725000.0,770000.0,,690000.0,,715000.0,,770000.0,2535.714285714286,2750.0,,1975.0,2375.0,2850.0,2800.0,2650.0,23.333333333333332
21 RICHARDS,50-60,19.0,Freehold,Apartment,918000.0,918000.0,,,,918000.0,,,2750.0,2850.0,,2350.0,2700.0,3150.0,2916.6666666666665,,26.842105263157894
21 RICHARDS,60-70,19.0,Freehold,Apartment,845000.0,845000.0,845000.0,,,,,,3183.3333333333335,3700.0,,2300.0,2700.0,4000.0,3700.0,3700.0,19.03153153153153
21 RICHARDS,80-90,19.0,Freehold,Apartment,1213500.0,1339000.0,,1088000.0,,,1339000.0,,3840.0,3700.0,,,3700.0,3900.0,3866.6666666666665,,30.157657657657655
21 RICHARDS,90-100,19.0,Freehold,Apartment,1310000.0,1370000.0,1250000.0,,1370000.0,,,,,,,,,,,,
24 ONE RESIDENCES,100-150,5.0,Freehold,Apartment,2580000.0,2580000.0,,,2580000.0,,,,,,,,,,,,
24 ONE RESIDENCES,120-130,,,,,,,,,,,,6079.0,5537.0,,,6500.0,,6200.0,5537.0,
24 ONE RESIDENCES,40-50,5.0,Freehold,Apartment,917000.0,983000.0,,818000.0,950000.0,983000.0,,,3381.5,3450.0,,2605.0,3550.0,4200.0,3640.0,3450.0,23.743961352657006
24 ONE RESIDENCES,50-60,5.0,Freehold,Apartment,1200000.0,1200000.0,,,,1200000.0,,,3385.714285714286,3850.0,,2775.0,3000.0,3833.3333333333335,3837.5,,25.974025974025974
24 ONE RESIDENCES,70-80,,,,,,,,,,,,4589.285714285715,5400.0,,3762.5,4216.666666666667,5333.333333333333,5137.5,,
26 NEWTON,100-150,11.0,Freehold,Apartment,2520000.0,2520000.0,,2520000.0,,,,,,,,,,,,,
26 NEWTON,110-120,,,,,,,,,,,,4925.0,4500.0,,3900.0,4500.0,5650.0,,,
26 NEWTON,40-50,11.0,Freehold,Apartment,1043666.6666666666,990000.0,,1020000.0,,1072500.0,1052000.0,1010000.0,3058.230769230769,3400.0,2433.3333333333335,2512.264150943396,3128.0,3512.5,3273.2432432432433,3276.1111111111113,24.264705882352942
26 NEWTON,50-60,11.0,Freehold,Apartment,1321360.0,1250000.0,1240000.0,1275000.0,,,1380000.0,1355900.0,3436.2244897959185,3400.0,,2830.0,3476.6666666666665,3886.6666666666665,3703.846153846154,3550.0,30.637254901960784
26 NEWTON,70-80,11.0,Freehold,Apartment,1795563.1875,1800000.0,1795926.0,1791834.2857142857,1765736.0,,1925000.0,1800000.0,4112.5,4000.0,,3393.75,4246.666666666667,4718.421052631579,4278.9473684210525,4192.857142857143,37.5
26 NEWTON,80-90,11.0,Freehold,Apartment,1840000.0,1840000.0,,,1840000.0,,,,4366.666666666667,4500.0,,3600.0,5000.0,,4500.0,,34.074074074074076
28 IMPERIAL RESIDENCES,100-110,,,,,,,,,,,,3020.0,3000.0,,2400.0,,3350.0,3000.0,3000.0,
28 IMPERIAL RESIDENCES,120-130,,,,,,,,,,,,3025.0,3400.0,,2700.0,2600.0,3300.0,3150.0,3400.0,
28 IMPERIAL RESIDENCES,30-40,14.0,Freehold,Apartment,637500.0,700000.0,575000.0,,,,700000.0,,2092.8571428571427,2350.0,,1762.5,2062.5,2400.0,2225.0,2350.0,24.822695035460992
28 IMPERIAL RESIDENCES,40-50,14.0,Freehold,Apartment,730833.3333333334,740000.0,645000.0,,,725000.0,763333.3333333334,,2627.1739130434785,3700.0,,2092.8571428571427,2466.6666666666665,3150.0,2981.25,3225.0,16.666666666666668
28 IMPERIAL RESIDENCES,50-60,14.0,Freehold,Apartment,829500.0,940000.0,736666.6666666666,,,957000.0,905000.0,,3450.0,4000.0,,3000.0,,3800.0,,4000.0,19.583333333333332
28 IMPERIAL RESIDENCES,60-70,14.0,Freehold,Apartment,825000.0,850000.0,,800000.0,,850000.0,,,2830.0,3000.0,,2400.0,2750.0,3000.0,3000.0,3000.0,23.61111111111111
28 IMPERIAL RESIDENCES,80-90,,,,,,,,,,,,3450.0,3400.0,,,,3500.0,3400.0,,
28 RC SUITES,30-40,8.0,Freehold,Apartment,705833.3333333334,755000.0,,665000.0,700000.0,750000.0,755000.0,,2606.3829787234044,2700.0,2016.6666666666667,2045.4545454545455,2494.4444444444443,2924.074074074074,2890.625,2981.25,23.30246913580247
28 RC SUITES,40-50,8.0,Freehold,Apartment,740000.0,750000.0,,710000.0,,755000.0,,,2623.529411764706,3000.0,,1916.6666666666667,2421.4285714285716,4000.0,2980.0,3000.0,20.833333333333332
28 RC SUITES,50-60,,,,,,,,,,,,2900.0,2900.0,,2250.0,,3333.3333333333335,2900.0,,
28 RC SUITES,70-80,8.0,Freehold,Apartment,1069000.0,1110000.0,,,1028000.0,,1110000.0,,2929.1666666666665,3000.0,,2225.0,2720.0,3750.0,3300.0,3000.0,30.833333333333332
28 RC SUITES,80-90,8.0,Freehold,Apartment,900000.0,900000.0,,900000.0,,,,,2600.0,2600.0,,2600.0,,,,,28.846153846153843
28 SHELFORD,100-110,,,,,,,,,,,,3822.222222222222,4750.0,,3150.0,3733.3333333333335,4500.0,4750.0,,
